dataset,model,window_s,seed,subjects,mean_accuracy_percent,subject_sample_sd_percent,source
DTU,CNN,0.5,2025,21,56.24661796536797,6.15374026687972,exp037
DTU,XANet,0.5,2025,21,50.0,0.0,exp038
DTU,DenseNet,0.5,2025,21,49.988162878787875,0.045384208126612195,exp037
DTU,DARNet,0.5,2025,21,57.96638257575758,8.744901923157265,exp037
DTU,DBPNet,0.5,2025,21,58.287675865800864,7.196677934943162,exp038
DTU,ListenNet,0.5,2025,21,51.13129058441558,2.877281491898297,exp037
DTU,MHANet,0.5,2025,21,50.652732683982684,1.6660649738421907,exp038
DTU,MDFNet,0.5,2025,21,60.712594696969695,10.11149730927762,exp042
KUL,CNN,0.5,2025,16,52.37955729166667,3.1824924149542975,exp038
KUL,XANet,0.5,2025,16,68.19227430555556,17.34150614702222,exp038
KUL,DenseNet,0.5,2025,16,63.90082465277778,14.397572296791186,exp038
KUL,DARNet,0.5,2025,16,64.27083333333333,15.844603891527989,exp038
KUL,DBPNet,0.5,2025,16,63.62196180555556,10.615189421552488,exp038
KUL,ListenNet,0.5,2025,16,65.21918402777777,16.463817743183032,exp038
KUL,MHANet,0.5,2025,16,66.67317708333333,14.41533786576449,exp038
KUL,MDFNet,0.5,2025,16,68.96809895833333,17.881807317828688,exp042
